1. marirui  [Ｓ級幼稚園児]    [コムテックタワー@愛知県@東海] Score: 1643000000 
36. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1639206578 
37. CloudyB.  [真・十溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1638924489 
38. Inver  [神の末裔の亡霊]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1638869156 
39. ERION+++  [I love "働かずに食う [IA Ver.]"]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1638581976 
40. tsnk  [名も無い幼い神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1638496155 
41. 9_tan*40  [九龍神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1638418969 
42. /*nYa  [鵺]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1638375146 
43. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1638334187 
44. ISiNKaGe  [影の神]    [タイトーステーション立川北口店@東京都@関東] Score: 1638203801 
45. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1638113272 
46. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1638097367 
47. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1638053848 
48. KenWong  [水中だと力が増す人魚]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1637798689 
49. LEE  [歴史喰いの半獣]    [キャッツアイ新札幌店@北海道@北海道] Score: 1637654416 
50. SCOTT  [春夏秋冬の神]    [ジャムジャムつくば店@茨城県@関東] Score: 1637610707 
51. TyonTa  [INDIGO RESTAURANT]    [タイトーイン綾瀬@東京都@関東] Score: 1636908634 
52. KEYJILL*  [変なTシャツ女神]    [セガ霞ヶ浦@茨城県@関東] Score: 1636828432 
53. TAK1  [Can Do God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1636737264 
54. *Gamer*  [HARDCORE SYNDROME]    [ソニックビーム松戸店@千葉県@関東] Score: 1636645374 
55. Mavis.V  [God more raves?]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1636549944 
56. *_MIKU_*  [空想神]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1636408305 
57. CROW  [しんどい]    [タイトーステーション大宮店@埼玉県@関東] Score: 1636211087 
58. SEA+EX  [鵺]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1635952581 
59. NEO+ex  [S級真田信之]    [ハイテクランド　キューデン@東京都@関東] Score: 1635674604 
60. BRO  [フロストゴッド]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1635622227 
61. Xuzuo  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1635135909 
62. Sasuke  [犬神]    [ビッグバン釧路@北海道@北海道] Score: 1634419499 
63. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1634345827 
64. Uetsu  [つらい]    [メジャーゲーム館@新潟県@信越] Score: 1634175222 
65. ChanM@ru  [つらい]    [タイトーステーション金沢店@石川県@北陸] Score: 1634147880 
66. antisan  [Can Do God]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1634076645 
67. Koton@ri  [Ｓ＋級カレー]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1633379270 
68. PoCkRo.B  [うー！がぉー！]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1632700689 
69. HIKARU  [GOD OF REVIVAL]    [コムテックタワー@愛知県@東海] Score: 1632669642 
70. U5*  [DullaGoddess]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1632347831 
71. LEOPARD6  [GLITHCRE KING]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1631562574 
72. 44327  [マーメイド]    [ラウンドワン福山店@広島県@中国] Score: 1631530227 
73. 9*cM  [マジェスティ神]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1631188101 
74. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1630742294 
75. Yahiko*  [スターミュージシャン]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1630425973 
76. FRED  [I love "二息歩行"]    [アピナ伊那店@長野県@信越] Score: 1630330530 
77. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1629981578 
78. SMP  [I love "六兆年と一夜物語"]    [ナムコランド広島店@広島県@中国] Score: 1629746546 
79. FIEL  [調査兵団]    [スペースファンタジーインフィニ@青森県@東北] Score: 1629658653 
80. TUXEDO.R  [駆け出し]    [カプコサーカス新潟東店@新潟県@信越] Score: 1629432828 
81. Yakumo  [みくみく女神♪]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1629222731 
82. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629105493 
83. L.pis*YY  [QLWAGOD]    [ラウンドワン郡山店@福島県@東北] Score: 1629086426 
84. NORIp  [名も無い幼い神]    [カレッジ・スクエア@山形県@東北] Score: 1628395506 
85. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1628369125 
86. Ryukl*  [God a pain cover?]    [タイトーステーション池袋西口店@東京都@関東] Score: 1628236089 
87. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1627996167 
88. M2*NI53  [「燃やせ 燃やせ その心を」]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1627802272 
89. Shikyo  [Shadow God]    [キャッツアイ麻生店@北海道@北海道] Score: 1627471893 
90. juni  [無名の神]    [セガ鳥取@鳥取県@中国] Score: 1627331952 
91. IIBOU  [自然の敵]    [タイトーＦステーション上越店@新潟県@信越] Score: 1627071603 
92. SHUU  [脱法神]    [セガワールド米沢@山形県@東北] Score: 1627041713 
93. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1626572301 
94. CATENARY  [31337神]    [セガ金山@愛知県@東海] Score: 1626480683 
95. LIMIO  [未確認幻想飛行少女]    [ラウンドワン盛岡店@岩手県@東北] Score: 1625784278 
96. A.S.HERO  [姉の歌姫]    [ATTACK GAME CENTER@Korea@海外] Score: 1625743456 
97. Y*xx-!?  [でんぱ神]    [ゲームディーノ彦根店@滋賀県@近畿] Score: 1625657548 
98. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1625504261 
99. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1625450752 
100. HITACHI  [わぁい神様大好き]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1625221179 
********************************************************************************************
101. FUJIN  [AM貴族　すたどんたん女神]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1624849198 
102. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1624807157 
103. Law  [Reload God]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1623791434 
104. KUPU  [CERAMIC GOD]    [タイトーステーション弥富店@愛知県@東海] Score: 1623764428 
105. Yuly7188  [LINK PERFECT]    [Ｇ－ＳＴＡ@鹿児島県@九州] Score: 1622816648 
106. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1622559180 
107. GUEST  [GROOVER]    [群馬レジャーランド伊勢崎店@群馬県@関東] Score: 1622531139 
108. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1622347174 
109. Makaru.G  [みんなのアイドル]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1622106992 
110. KENO  [初代スコアタ足軽]    [ラウンドワン福島店@福島県@東北] Score: 1619940488 
111. YAMA-!?  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1619322778 
112. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1619178010 
113. KURI_ZZZ  [バーカバーカ！]    [アピナ松本店@長野県@信越] Score: 1618815545 
114. GIL  [グルーヴ百段]    [タイトーステーション池袋西口店@東京都@関東] Score: 1618720563 
115. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1617881304 
116. VERDURE  [パーティクルクイーン]    [ARCADE1@Korea@海外] Score: 1617746343 
117. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1616998084 
118. Nera  [弱虫神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1615993167 
119. NOLF68  [ALERT]    [タイトーステーション秋葉原店@東京都@関東] Score: 1614434690 
120. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1613369295 
121. cohalz  [GOD]    [埼玉レジャーランド川越店@埼玉県@関東] Score: 1613004415 
122. BEGINNER  [GROOVER]    [タイトーステーション所沢店@埼玉県@関東] Score: 1612982062 
123. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1612829225 
124. Syou0139  [伝統の幻想ブン屋]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1612530700 
125. ())  [完全に極めたなっしんぐ]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1612419344 
126. xx_Adam  [第四ノ封印ヲ解放セシ者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1612093776 
127. RETurn  [「馬鹿じゃないの？」]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1612034607 
128. Mojo  [全都道府県完全制覇]    [ナムコランド広島店@広島県@中国] Score: 1611425701 
129. 9M@NO3  [岐阜勢]    [タイトーステーション立川北口店@東京都@関東] Score: 1611045864 
130. KYONKO  [LINK PERFECT]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1610990406 
131. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1610903253 
132. Albireo  [LINK PERFECT]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1609988788 
133. yetogen  [God a pain cover?]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1609668037 
134. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1608360743 
135. cycla.  [一人じゃないんだ]    [セガワールド北山形@山形県@東北] Score: 1608166342 
136. VAL  [Burst GOD]    [ジョイランド鯖江店@福井県@北陸] Score: 1607886167 
137. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1607733446 
138. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1607519049 
139. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1607362369 
140. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1607251669 
141. HONOME  [残酷な真実を見せてあげる]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1607020611 
142. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1606502942 
143. MIKO  [中二病God]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1606291140 
144. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1605991155 
145. arisia  [「馬鹿じゃないの？」]    [タイトーステーション浜松店@静岡県@東海] Score: 1605624506 
146. tope-kon  [「馬鹿じゃないの？」]    [ラウンドワン盛岡店@岩手県@東北] Score: 1605477534 
147. Kissshot  [絶対思想啓蒙局神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1605430136 
148. KUU  [「本当の僕はどこに行ったっけ?」]    [タイトーイン綾瀬@東京都@関東] Score: 1605316435 
149. G.urakaM  [真・一万段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1604483928 
150. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1603964490 
151. NOGUnSO  [「叫べ 叫べ 遠くへ」]    [セガ安城@愛知県@東海] Score: 1602738624 
152. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1602649307 
153. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1602646808 
154. SEFY  [I love IA 2016]    [キャロム坂戸店@埼玉県@関東] Score: 1601905025 
155. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1601508113 
156. C-man  [世界の歌姫]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1599992089 
157. xx_LA-LA  [バーカバーカ！]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1599920996 
158. ZONE  [「一緒に帰ろう」]    [Ｇ－ＳＴＡ@鹿児島県@九州] Score: 1599605331 
159. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1599291065 
160. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1599240034 
161. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1597958817 
162. RAM4  [「馬鹿じゃないの？」]    [ムトス相模原店@神奈川県@関東] Score: 1597855940 
163. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1597014138 
164. PICO  [羅刹神]    [アルティランド@広島県@中国] Score: 1596488719 
165. NATUNON  [Circuit GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1596439734 
166. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1595799336 
167. *BUSY-0  [完全に極めたなっしんぐ]    [キングジョイ@愛知県@東海] Score: 1595085287 
168. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1594295951 
169. Rinne!?  [期待の新人]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1593911526 
170. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ラウンドワン奈良店@奈良県@近畿] Score: 1593288365 
171. NANOHA77  [沖縄勢]    [セガ秋葉原１号館@東京都@関東] Score: 1592474829 
172. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1592105372 
173. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1591466152 
174. HiBi  [ふたつのARIA]    [セガ安城@愛知県@東海] Score: 1591238937 
175. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1591092282 
176. KZ+manju  [全都道府県完全制覇]    [ラウンドワン奈良店@奈良県@近畿] Score: 1590968685 
177. BASS  [「馬鹿じゃないの？」]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1590012346 
178. H.SYSTEM  [NOURISHMENT CELEBRATE]    [遊パラダイス@山形県@東北] Score: 1589979467 
179. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1589759308 
180. ICENON*  [God hive of Ra]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1589528015 
181. ZODY  [重低音モンスター]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1588886120 
182. R.KaBaTa  [TANO*C MASTER]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1588278308 
183. K-FISHER  [GROOVER]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1587336812 
184. TAPE  [踊ってみたら七変化！]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1586852084 
185. PETER1  [香港勢]    [AMERICAN POOL@Hong Kong@海外] Score: 1584646884 
186. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1584364419 
187. 8MA  [つらい]    [ラッキー八千代店@千葉県@関東] Score: 1583532111 
188. TOKOHA  [無彩色神]    [セガ松山@愛媛県@四国] Score: 1583519906 
189. daisuki  [「荒ぶる戦士」]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1583189698 
190. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1582373520 
191. ni-yan  [バーカバーカ！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1582227348 
192. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1582191208 
193. EN453  [アークエンジェル]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1581691301 
194. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1581153170 
195. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1580452049 
196. xx_DiC  [会いたい神]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1580285417 
197. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1580204520 
198. MYU-10  [一番星☆☆☆]    [タイトーステーション小田原店@神奈川県@関東] Score: 1580086894 
199. FSTK  [Chaos God]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1579922602 
200. xx_Clark  [「一緒に帰ろう」]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1579479351 
********************************************************************************************
201. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1579372999 
202. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1578781707 
203. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1578216423 
204. 27  [すっごーい！]    [ラウンドワン町田店@東京都@関東] Score: 1578007943 
205. DADDY  [たのしー！]    [タイトーイン綾瀬@東京都@関東] Score: 1576910044 
206. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1575505014 
207. PezzA>.<  [真・一万段]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1574793164 
208. Darful  [カ　オ　ス]    [インターワールド伊勢崎店@群馬県@関東] Score: 1574333946 
209. MINE.  [アキバ神]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1574183122 
210. T=YURIKA  [ヴァンパイア姫]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1573405007 
211. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1572387516 
212. Goat  [ふたつのARIA]    [セガワールド高城@大分県@九州] Score: 1571361357 
213. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1569758013 
214. Hinata  [King's Blood]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1568860404 
215. Eagle.  [つらい]    [タイトーイン綾瀬@東京都@関東] Score: 1568479808 
216. GARYU!!!  [グルーヴ六十万段]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1568338979 
217. MAKURO  [Reload God]    [タイトーステーション新宿東口店@東京都@関東] Score: 1567978438 
218. Rokuku  [フィフス・フォース]    [タイトーステーション町田店@東京都@関東] Score: 1567612437 
219. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1567098994 
220. karinPTV  [I love "Lost Colors"]    [タイトーステーション弥富店@愛知県@東海] Score: 1566071403 
221. M4R1S4  [神の末裔の亡霊]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1563883035 
222. SGK4444  [尊い・・・]    [タイトーステーション秋葉原店@東京都@関東] Score: 1563535862 
223. Silver  [尊い・・・]    [ユーズランド高岡店@富山県@北陸] Score: 1562284476 
224. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1560883647 
225. POTETO  [戦車女神]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1560866247 
226. BYDO  [BRIER CASTLE]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1560676589 
227. Mikurino  [　「おねだりしてみてほしいの」]    [ROUND1(MAIN PLACE)@America@海外] Score: 1560476697 
228. IZAWA/  [REV. × GC 達人]    [ユーズランド下田店@青森県@東北] Score: 1559207859 
229. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1558312835 
230. LEO*  [奈良勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1558242097 
231. MOEOU  [八岐大蛇]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1557597042 
232. mrskon-G  [空想神]    [コムテックタワー@愛知県@東海] Score: 1556630433 
233. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1556408462 
234. LOCK  [神・伍段]    [セガ池袋ギーゴ@東京都@関東] Score: 1554819746 
235. BANANA  [初代SSS CLASS]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1554659899 
236. U.runo  [ミリアの下僕]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1554611691 
237. ZoKoSu  [しんどい]    [セガ海田@広島県@中国] Score: 1554210943 
238. GFP  [I love Ray series]    [カレッジ・スクエア@山形県@東北] Score: 1553020524 
239. Chuckey  [全都道府県完全制覇]    [ナムコランド広島店@広島県@中国] Score: 1552448229 
240. Cocoa.*  [HARDCORE SYNDROME]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1551402022 
241. DAGO  [しんどい]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1551101692 
242. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1550684459 
243. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1550599468 
244. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1550598605 
245. yukineko  [S+級ゆきだるま]    [ラウンドワン大分店@大分県@九州] Score: 1550330259 
246. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1548739394 
247. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1546286328 
248. KENTA-09  [Ｓ＋級ラーメン]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1545450253 
249. 10-LL*  [OMAKENO Kamisama]    [メジャーゲーム館@新潟県@信越] Score: 1545353521 
250. Takashi#  [GROOVER]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1544285895 
251. KANI  [God more raves?]    [セガ水戸@茨城県@関東] Score: 1544180224 
252. TAK  [キャッチ・ザ・ハート]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1544091195 
253. DA_FU  [TGM大王]    [夢大陸　松本店@長野県@信越] Score: 1543934497 
254. KaZuKi09  [I love ONE 2016]    [セガ松江@島根県@中国] Score: 1542909540 
255. ZE4MI  [「未熟な暴れ者」]    [タイトーイン綾瀬@東京都@関東] Score: 1542390394 
256. Raijin.  [Crazy ∞ Goddess]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1542208205 
257. HAOKA  [北海道勢]    [ゲームフェスタミタマ@青森県@東北] Score: 1541898639 
258. CHIRU9  [パンプキン神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1541785221 
259. mea*  [I love 夢眠ネム]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1541668789 
260. e99tart  [GROOVER]    [ハイテクランドセガ池上@東京都@関東] Score: 1541515498 
261. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1541339606 
262. IMAE  [名も無い幼い神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1540659388 
263. W.F.184  [I AM EDM]    [タイトーステーション池袋西口店@東京都@関東] Score: 1540111964 
264. DFMEX  [神・肆級]    [セガ小名浜@福島県@東北] Score: 1539938975 
265. FUTAMI.M  [風神]    [セガ難波アビオン@大阪府@近畿] Score: 1539809475 
266. GROOVER  [「幼女の世界」]    [CHAMELEON AMUSEMENT(CHIAYI)@Taiwan@海外] Score: 1539243992 
267. Takato.  [牛タン]    [ドゥーフルズ@東京都@関東] Score: 1538752849 
268. Camilia  [宇宙最速]    [ユーズランド下田店@青森県@東北] Score: 1538216652 
269. KUJIGEN  [マスター・オブ・ナイツ]    [モナコ川越店@埼玉県@関東] Score: 1537418416 
270. NAOTOMO  [仮初の満足]    [タイトーステーション大須店@愛知県@東海] Score: 1536979816 
