1. marirui  [Ｓ級幼稚園児]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1680000000 
38. GUREKO+  [DX超性能フルメタル神]    [ロックンボウル@秋田県@東北] Score: 1676920069 
39. MHRJ  [マトリョシカ神]    [ロックンボウル@秋田県@東北] Score: 1676904925 
40. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1676721056 
41. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1676656180 
42. QWERTZ  [臥薪嘗胆]    [ビーカム松森店@宮城県@東北] Score: 1676328666 
43. CloudyB.  [真・千溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1675929352 
44. Inver  [店内SS CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1675921470 
45. /*nYa  [I love "そして誰もいなくなった"]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1675398718 
46. Shikyo  [流星神]    [キャッツアイ麻生店@北海道@北海道] Score: 1675334367 
47. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1675303701 
48. 9_tan*40  [Miraculous God]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1675295718 
49. juni  [パンダ神]    [セガ鳥取@鳥取県@中国] Score: 1675217382 
50. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1675091756 
51. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1674990566 
52. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1674850065 
53. KenWong  [しわ神]    [GOLD STAR(TSUEN WAN)@Hong Kong@海外] Score: 1674804010 
54. SCOTT  [春夏秋冬の神]    [ラッキー八千代店@千葉県@関東] Score: 1674773503 
55. LEE  [I love "君色サブリミナル"]    [キャッツアイ恵庭店@北海道@北海道] Score: 1674611238 
56. CATENARY  [鵺]    [コムテックタワー@愛知県@東海] Score: 1674376563 
57. CROW  [無理]    [Ｈｅｙ@東京都@関東] Score: 1674264407 
58. *Gamer*  [HARDCORE SYNDROME]    [ソニックビーム松戸店@千葉県@関東] Score: 1674182269 
59. KEYJILL*  [My Voice is God.]    [セガ霞ヶ浦@茨城県@関東] Score: 1674074676 
60. TAK1  [金属バット神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1673933014 
61. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1673681091 
62. HiBi  [S級にんじん]    [セガ岡崎@愛知県@東海] Score: 1673580562 
63. SEA+EX  [鵺]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1672731951 
64. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1672615550 
65. BRO  [叢雲神]    [セガ鳥取@鳥取県@中国] Score: 1672494267 
66. Xuzuo  [Detonator God]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1672461936 
67. ChanM@ru  [つらい]    [タイトーステーション金沢店@石川県@北陸] Score: 1671047694 
68. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1670834686 
69. antisan  [究極進化！]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1670326332 
70. Koton@ri  [メカクシ団]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1670273330 
71. pillow  [LINK LINK KING]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1669754118 
72. HIKARU  [GOD OF REVIVAL]    [アミューズファクトリー@愛知県@東海] Score: 1669252587 
73. FUJIN  [AM貴族　すたどんたん女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1668932806 
74. LEOPARD6  [しわ大王]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1668635890 
75. SHUU  [にやリンカちゃん]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1668612600 
76. 9M@NO3  [THE BLUE GOD]    [プレイロットジョイ@東京都@関東] Score: 1667865549 
77. M2*NI53  [I AM EDM]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1667633049 
78. Yahiko*  [七福神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1667539683 
79. FRED  [I love "しわ"]    [アピナ塩尻店@長野県@信越] Score: 1667485401 
80. 9*cM  [「なんで？？？」]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1667195943 
81. Ryukl*  [God a pain cover?]    [セガ池袋ギーゴ@東京都@関東] Score: 1667019215 
82. NEO+ex  [獏]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1666784292 
83. KURI_ZZZ  [「幼女の世界」]    [アピナ塩尻店@長野県@信越] Score: 1666661531 
84. TUXEDO.R  [駆け出し]    [メジャーロード黒埼店@新潟県@信越] Score: 1666564742 
85. ICENON*  [God hive of Ra]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1666192479 
86. 2CYR  [蓬莱の人の形]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1666028834 
87. Yakumo  [みくみく女神♪]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1665940297 
88. FIEL  [未来も、希望も、奪還する！]    [スペースファンタジーインフィニ@青森県@東北] Score: 1665680371 
89. NORIp  [パンダ神]    [セガワールド北山形@山形県@東北] Score: 1665511687 
90. tsnk  [グルーヴ八十万段]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1665378929 
91. natsume.  [I love "SPARKLING FUTURE"]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1665143281 
92. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1665136312 
93. SMP  [導きのARIA]    [ナムコランド広島店@広島県@中国] Score: 1664709848 
94. IIBOU  [東方六楽抄]    [アピナ上越インター店@新潟県@信越] Score: 1664521640 
95. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1663458511 
96. Yuly7188  [LINK PERFECT]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1662984687 
97. HITACHI  [ヤタガラス・ゴッド]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1662078280 
98. TyonTa  [INDIGO RESTAURANT]    [タイトーイン綾瀬@東京都@関東] Score: 1661895856 
99. Sasuke  [┌[・ ・]┘god]    [ビッグバン釧路@北海道@北海道] Score: 1661638406 
100. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1661620959 
********************************************************************************************
101. Hei*  [God of Moon]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1661386212 
102. 44327  [LINK PERFECT]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1661164118 
103. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1660777077 
104. Shin  [GOD OF REVIVAL]    [ジャムジャム神栖店@茨城県@関東] Score: 1660776353 
105. KUPU  [W.W.G]    [タイトーステーション弥富店@愛知県@東海] Score: 1660411406 
106. A.S.HERO  [無理]    [ATTACK GAME CENTER@Korea@海外] Score: 1660330542 
107. GUEST  [GROOVER]    [ｎａｍｃｏけやきウォーク前橋店@群馬県@関東] Score: 1660229260 
108. Kissshot  [絶対思想啓蒙局神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1659359427 
109. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1658897595 
110. LIMIO  [TECHNO COMPLEX GOD]    [ラウンドワン盛岡店@岩手県@東北] Score: 1658760789 
111. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1657619678 
112. Mavis.V  [水中だと力が増す人魚]    [ファンタジーパーク@栃木県@関東] Score: 1657570543 
113. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1656646911 
114. GIL  [グルーヴ百段]    [タイトーステーション池袋西口店@東京都@関東] Score: 1656494208 
115. U5*  [DullaGoddess]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1656167298 
116. VERDURE  [羅刹大王]    [ATTACK GAME CENTER@Korea@海外] Score: 1654928164 
117. tope-kon  [NEPTUNE]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1654848534 
118. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1654549039 
119. Yuuki  [DullaGoddess]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1654061793 
120. Y.G.insa  [アークエンジェル]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1653470631 
121. YAMA-!?  [魔法少女神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1653240472 
122. Nera  [弱虫神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1653189422 
123. ())  [完全に極めたなっしんぐ]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1652075047 
124. Syou0139  [伝統の幻想ブン屋]    [モリシア　アミューズパーク@千葉県@関東] Score: 1651936255 
125. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1651751295 
126. KENO  [歌って踊れるゲーマーアイドル]    [ディノスパーク南福島店@福島県@東北] Score: 1650930052 
127. KANI  [DYE GOD]    [セガ水戸@茨城県@関東] Score: 1650908594 
128. Makaru.G  [GOD]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1650223893 
129. NOLF68  [ALERT]    [タイトーステーション浅草店@東京都@関東] Score: 1649949769 
130. cohalz  [行脚神]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1649694746 
131. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1649606991 
132. RETurn  [I love "怪談「カーナビ」"]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1649530417 
133. Mojo  [LINK PERFECT]    [ビバーチャ@広島県@中国] Score: 1649248055 
134. xx_Adam  [第四ノ封印ヲ解放セシ者]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1649104093 
135. HONOME  [残酷な真実を見せてあげる]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1646940956 
136. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1646937109 
137. Takato.  [GC2最終スコアタ皇帝]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1644994683 
138. VAL  [「馬鹿じゃないの？」]    [アルプラザボウル鯖江@福井県@北陸] Score: 1644929529 
139. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1644653791 
140. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1644324894 
141. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1644105614 
142. arisia  [ミュージック・リボルバー・ゴッド]    [タイトーステーション浜松店@静岡県@東海] Score: 1643767953 
143. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1643765089 
144. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1643400247 
145. Law  [運び屋]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1642912369 
146. KUU  [決シテ逃レルコトノデキヌ夜]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1642293391 
147. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1641759997 
148. MIKO  [労働反対神]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1641656456 
149. Kreide  [無理]    [アピナ松本店@長野県@信越] Score: 1640986643 
150. R.KaBaTa  [TANO*C MASTER]    [ESLITE WUCHANG@Taiwan@海外] Score: 1640515432 
151. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1639832193 
152. NOGUnSO  [双地舞先生]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1639752302 
153. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1639727012 
154. ZONE  [シンガポール勢]    [セガワールド出水@鹿児島県@九州] Score: 1637322152 
155. KYONKO  [LINK PERFECT]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1637136747 
156. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1636278499 
157. xx_LA-LA  [バーカバーカ！]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1636255067 
158. C-man  [赤ゴーグル☆]    [ラウンドワン新開地店@兵庫県@近畿] Score: 1636155929 
159. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1635003682 
160. BEGINNER  [GROOVER]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1634833431 
161. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1633272857 
162. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1633071454 
163. BASS  [プリンシパリティ]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1632685245 
164. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1632570691 
165. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1632222520 
166. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1631625759 
167. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1631545524 
168. Tsukasa  [K.I.N.G]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1631454602 
169. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ラウンドワン奈良店@奈良県@近畿] Score: 1631381833 
170. MINE.  [噂の美少女探偵]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1631315468 
171. mea*  [うー！がぉー！]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1630841284 
172. 8MA  [I love "Pray"]    [ラッキー八千代店@千葉県@関東] Score: 1630837852 
173. cycla.  [すっごーい！]    [セガワールド北山形@山形県@東北] Score: 1630825629 
174. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1629535192 
175. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629062358 
176. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1628916584 
177. MEBIUS  [練習中]    [ラウンドワン宮崎店@宮崎県@九州] Score: 1628855253 
178. Albireo  [JUL, 2017 TOP RANKER]    [セガ幕張@千葉県@関東] Score: 1628549605 
179. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1628374513 
180. ZODY  [癒しの歌姫]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1628342576 
181. KZ+manju  [全都道府県完全制覇]    [セガビバモール寝屋川@大阪府@近畿] Score: 1627290990 
182. H.SYSTEM  [VIRTUE ISLAND]    [遊パラダイス@山形県@東北] Score: 1627266622 
183. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1627261961 
184. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1626695681 
185. xx_DiC  [会いたい神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1626131666 
186. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1625856338 
187. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1625794310 
188. TAPE  [踊ってみたら七変化！]    [セガ赤羽@東京都@関東] Score: 1625067075 
189. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1624796424 
190. K-FISHER  [GROOVER]    [タイトーイン綾瀬@東京都@関東] Score: 1623872878 
191. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1623698989 
192. yetogen  [God a pain cover?]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1623637896 
193. PETER1  [天下統一]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1623412181 
194. SEFY  [マトリョシカ先生]    [キャロム坂戸店@埼玉県@関東] Score: 1623286097 
195. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1622896028 
196. Takashi#  [Good Night, Bad God.]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1619492952 
197. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1619037536 
198. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1618289336 
199. EN453  [Good-bye神]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1618106973 
200. FSTK  [Chaos God]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1617895606 
********************************************************************************************
201. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1616093767 
202. NANOHA77  [I love "ETERNAL BLAZE"]    [ジャムジャムつくば店@茨城県@関東] Score: 1615964208 
203. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1615864770 
204. BANANA  [初代SSS CLASS]    [ラウンドワン梅田店@大阪府@近畿] Score: 1615373316 
205. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1614540252 
206. Darful  [私のことは殿下と呼びたまえ！]    [インターワールド伊勢崎店@群馬県@関東] Score: 1612316009 
207. PICO  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1612147699 
208. NANAMI!?  [天体観測大王]    [ＧＲＥＡ@愛知県@東海] Score: 1611942734 
209. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1611577606 
210. MAKURO  [17K GOD]    [タイトーステーション新宿東口店@東京都@関東] Score: 1611548712 
211. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1610383232 
212. PezzA>.<  [真・一万段]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1610134124 
213. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1609667660 
214. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1608815892 
215. issy  [エンヴィキャットゴッド]    [タイトーステーション所沢店@埼玉県@関東] Score: 1607306214 
216. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1606897677 
217. Hinata  [金属バット大王]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1606751643 
218. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1606745655 
219. GARYU!!!  [グルーヴ六十万段]    [タイトーステーション町田店@東京都@関東] Score: 1605027290 
220. xx_Clark  [第四回天下一チャレンジャー]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1604816773 
221. Mikurino  [アスノヨゾラ神班]    [ROUND1(MAIN PLACE)@America@海外] Score: 1604168184 
222. TOARU  [だってだってだって女神]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1602755941 
223. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1602492014 
224. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1602427389 
225. U.runo  [拍音の戦士]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1602221438 
226. DAGO  [楽園の最高裁判長]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1601410324 
227. T=YURIKA  [ヴァンパイア姫]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1600738724 
228. Sekirei  [アークエンジェル]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1600613290 
229. Magnolia  [PRINCESS]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1600244799 
230. IZAWA/  [I love Xenoa]    [ユーズランド下田店@青森県@東北] Score: 1600063826 
231. LONGNEGI  [有　罪]    [ウェアハウス南流山店@千葉県@関東] Score: 1599856171 
232. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1598805404 
233. Chuckey  [全都道府県完全制覇]    [ビバーチャ@広島県@中国] Score: 1597332607 
234. daisuki  [不可能を無にする者]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1596267696 
235. 27  [すっごーい！]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1596028326 
236. LOCK  [神・捌段]    [セガ池袋ギーゴ@東京都@関東] Score: 1595879889 
237. BYDO  [BRIER CASTLE]    [プレイランドエフワンＲ@宮城県@東北] Score: 1595534018 
238. SGK4444  [「パッパッパラッパパパラパ」]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1595337053 
239. raiN  [覚醒先生]    [プラサカプコン甲府店@山梨県@関東] Score: 1595109893 
240. TOKOHA  [無彩色神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1594699417 
241. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1594533344 
242. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1591301612 
243. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1591168947 
244. DA_FU  [TGM大王]    [ＡＧスクエア岡谷@長野県@信越] Score: 1590398597 
245. DADDY  [たのしー！]    [セガ秋葉原１号館@東京都@関東] Score: 1590024044 
246. ZoKoSu  [しんどい]    [セガ海田@広島県@中国] Score: 1589281416 
247. mrskon-G  [空想神]    [タイトーステーション大須店@愛知県@東海] Score: 1588890891 
248. MYU-10  [一番星☆☆☆]    [タイトーステーション小田原店@神奈川県@関東] Score: 1588553762 
249. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1587067866 
250. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1586302833 
251. Eagle.  [中級者]    [タイトーイン綾瀬@東京都@関東] Score: 1585346204 
252. Silver  [閉じた恋の瞳]    [Ｔ／Ｓファボーレ婦中@富山県@北陸] Score: 1585201977 
253. Hydrex  [Ｓ＋級おでん]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1583966508 
254. MOEOU  [八岐大蛇]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1583955351 
255. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1583896646 
256. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1581859211 
257. yukineko  [大分勢]    [ラウンドワン大分店@大分県@九州] Score: 1581422278 
258. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1580852466 
259. TAK  [キャッチ・ザ・ハート]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1579643268 
260. karinPTV  [I love "Lost Colors"]    [Ｌａ・Ｆｉｅｓｔａ@愛知県@東海] Score: 1578959213 
261. M4R1S4  [御柱神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1577790177 
262. KUJIGEN  [Change master]    [ゲームマグマックス川越@埼玉県@関東] Score: 1577257681 
263. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1577136245 
264. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1576758285 
265. KENTA-09  [Ｓ＋級ラーメン]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1576658581 
266. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1576471632 
267. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1574690477 
268. KaZuKi09  [会いたい神]    [セガ松江@島根県@中国] Score: 1573793777 
