113. Mojo  [全都道府県完全制覇]    [ビバーチャ@広島県@中国] Score: 1575943065 
114. HITACHI  [サドマミゴッド]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1575204421 
115. K.x*N3  [幽冥楼閣の亡霊少女]    [メジャーロード２４@新潟県@信越] Score: 1574926638 
116. Law  [DEATH]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1574594236 
117. KYONKO  [LINK PERFECT]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1574090341 
118. NORIp  [ゴッド・オブ・ナイツ]    [スーパーノバ天童@山形県@東北] Score: 1573351076 
119. onsenti  [dis-human]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1573237201 
120. BEGINNER  [GROOVER]    [タイトーステーション所沢店@埼玉県@関東] Score: 1573140929 
121. G.urakaM  [初代スコアタ侍大将]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1571992085 
122. Raiu  [泡はきドラゴン]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1571837967 
123. tope-kon  [鵺]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1571228135 
124. VERDURE  [妹様]    [STARMU GAME CENTER@Korea@海外] Score: 1571143202 
125. RLya  [Bright God]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1570892357 
126. MYU-10  [一番星☆☆☆]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1570823097 
127. NOLF68  [永遠の中二病]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1570743247 
128. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1568967989 
129. juni  [STAGER GOD]    [セガ鳥取@鳥取県@中国] Score: 1568434181 
130. Shougo99  [神・壱級]    [ラウンドワン浜松店@静岡県@東海] Score: 1568370493 
131. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1568239531 
132. OGAPY.GC  [オンラインゲームキング]    [タイトーステーション柏店@千葉県@関東] Score: 1568231745 
133. xx_Adam  [第四ノ封印ヲ解放セシ者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1566740462 
134. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1566568163 
135. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1566152517 
136. SNOW  [ずんどこずんどこずんどこずんどこ]    [ゲームチャオ松阪@三重県@東海] Score: 1565912522 
137. Syou0139  [伝統の幻想ブン屋]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1565864879 
138. RETurn  [裏切り大王]    [Ｈｅｙ@東京都@関東] Score: 1565616711 
139. MIKO  [境界の妖怪]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1565504435 
140. DADDY  [I love "DADDY MULK"]    [タイトーステーション所沢店@埼玉県@関東] Score: 1565492491 
141. BL4CK3M0  [GHOST]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1565471656 
142. Nera  [弱虫神]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1565208253 
143. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1565070915 
144. 9*cM  [デュラハン]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1565009698 
145. cohalz  [infinity]    [タイトーステーション所沢店@埼玉県@関東] Score: 1564599171 
146. 44.44  [STAR COASTER GOD]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1563469063 
147. HONOME  [この宇宙を抱いて輝く神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1563199618 
148. M4R1S4  [死してなお、愉しい女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1563182228 
149. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1563056702 
150. PICO  [羅刹神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1563033036 
151. TAKE  [God's Blood]    [ソユーゲームフィールド三川店@山形県@東北] Score: 1561452182 
152. cycla.  [すっごーい！]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1561382142 
153. VAL  [SEP, 2017 TOP RANKER]    [アルプラザボウル鯖江@福井県@北陸] Score: 1560829717 
154. ())  [ドリームパーティーゴッド]    [ファンタジードーム八戸@青森県@東北] Score: 1560708373 
155. MONO  [最高の舞台を目指せ！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1560575697 
156. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1560507590 
157. R.KaBaTa  [発狂大魔人]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1560499332 
158. Vedr  [練習中]    [新宿プレイランドカーニバル@東京都@関東] Score: 1560186514 
159. Eagle.  [Ever…]    [タイトーイン綾瀬@東京都@関東] Score: 1559580432 
160. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1558790373 
161. arisia  [古びた琴の付喪神]    [タイトーステーション浜松店@静岡県@東海] Score: 1557792729 
162. SEFY  [ウロボロス]    [タイトーステーション池袋西口店@東京都@関東] Score: 1557654347 
163. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1557215614 
164. KUU  [二代目スコアタ子爵]    [テクモピア南越谷店@埼玉県@関東] Score: 1556848232 
165. NIS@  [LRLRABAB神]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1555685089 
166. NOGUnSO  [Ｓ級幼稚園児]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1555024697 
167. C-man  [わわわわーにん！]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1554753733 
168. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1554528687 
169. xx_LA-LA  [バーカバーカ！]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1554447760 
