131. 9_tan*40  [秋田勢]    [サードプラネットＢｉＶｉ仙台店@宮城県@東北] Score: 1545828010 
132. HITACHI  [LINK PERFECT]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1545691336 
133. MYU-10  [一番星☆☆☆]    [ゲームインファンファン本厚木店@神奈川県@関東] Score: 1544946403 
134. Shougo99  [神・弐級]    [ラウンドワン浜松店@静岡県@東海] Score: 1544439347 
135. A.S.HERO  [超シューティング神]    [MOFUN SEOUL@Korea@海外] Score: 1544423127 
136. K.x*N3  [歌って踊れるゲーマーアイドル]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1544156834 
137. Raijin.  [Help me, KAMISAMAAAAAA!!]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1544058771 
138. MIKO  [労働反対神]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1543399835 
139. PICO  [羅刹神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1542695241 
140. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1542463301 
141. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1542071473 
142. xx_Adam  [ネトゲ廃人大王]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1541844725 
143. cohalz  [超シューティング神]    [キャロム坂戸店@埼玉県@関東] Score: 1541681729 
144. Syou0139  [伝統の幻想ブン屋]    [モリシア　アミューズパーク@千葉県@関東] Score: 1541621801 
145. juni  [STAGER GOD]    [セガ鳥取@鳥取県@中国] Score: 1541422946 
146. RETurn  [超シューティング神]    [Ｈｅｙ@東京都@関東] Score: 1540939712 
147. 9*cM  [多重人格神]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1540881525 
148. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1539531723 
149. AKKI1027  [ノリノリンカちゃん]    [ラウンドワン千日前店@大阪府@近畿] Score: 1539392751 
150. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1539167329 
151. OGAPY.GC  [オンラインゲームキング]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1538822468 
152. Nera  [弱虫神]    [プレイロットジョイ@東京都@関東] Score: 1538545894 
153. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1538357832 
154. HONOME  [カミ松]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1538230659 
155. Law  [トラップ回避マスター]    [プラボ宇都宮店@栃木県@関東] Score: 1537463163 
156. karinPTV  [I love IOSYS]    [ゲームランド（岡崎）@愛知県@東海] Score: 1536929784 
157. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1536707369 
158. daisuki  [第四ノ封印ヲ解放セシ者]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1535689074 
159. Vedr  [練習中]    [サードプラネットＢｉＶｉ沼津店@静岡県@東海] Score: 1535564352 
160. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1534939471 
161. SEFY  [I love "]-[|/34&lt;#!"]    [キャロム坂戸店@埼玉県@関東] Score: 1534090102 
162. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1534060546 
163. NOGUnSO  [Ｓ級幼稚園児]    [セガ金山@愛知県@東海] Score: 1533630996 
164. NANOHA77  [沖縄勢]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1533605169 
165. PAN  [みっくみくにしてやんよ～！]    [アルプラザボウル鯖江@福井県@北陸] Score: 1533579668 
166. arisia  [壁をすり抜けられる程度の女神]    [タイトーステーション浜松店@静岡県@東海] Score: 1533217966 
167. tope-kon  [超シューティング神]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1533105080 
168. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1532334799 
169. Takashi#  [God noir forever.]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1532308632 
170. ())  [渾沌の神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1531719982 
171. Camilia  [宇宙最速]    [タイトーステーション町田店@東京都@関東] Score: 1530933150 
172. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1530765724 
173. VAL  [Burst GOD]    [アルプラザボウル鯖江@福井県@北陸] Score: 1530276099 
174. C-man  [ジルバラードのエンジェル]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1530052829 
175. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1529772047 
176. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1529298901 
177. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1529229349 
178. TOKOHA  [神々が恋した神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1528179127 
179. KUU  [グルーヴ二十万段]    [タイトーイン綾瀬@東京都@関東] Score: 1528163671 
180. FSTK  [Chaos God]    [セガワールドアルカス@東京都@関東] Score: 1527263369 
181. ukyu  [ふわっふわ15歳]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1527210453 
182. ARuFa  [Good Night, Bad God.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1525971057 
183. K-FISHER  [GROOVER]    [タイトーイン綾瀬@東京都@関東] Score: 1524476022 
184. xx_LA-LA  [強欲の魔法使い]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1524380119 
185. GFP  [I love "Captain NEO"]    [カレッジ・スクエア@山形県@東北] Score: 1523279190 
186. NIS@  [鹿児島勢]    [タイトーステーション所沢店@埼玉県@関東] Score: 1523156510 
187. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1522395183 
188. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1521861014 
189. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1521707076 
190. Sasuke  [Gaiden GOD]    [ビッグバン釧路@北海道@北海道] Score: 1521296915 
191. ZE4MI  [大阪神]    [タイトーステーション柏店@千葉県@関東] Score: 1521268813 
192. KZ+manju  [全都道府県完全制覇]    [ラウンドワン奈良店@奈良県@近畿] Score: 1520558290 
193. BASS  [エンジェル]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1520545224 
194. Kiririya  [中級者]    [ラウンドワン吉祥寺店@東京都@関東] Score: 1518407815 
195. H.SYSTEM  [さつま揚げ]    [遊パラダイス@山形県@東北] Score: 1518268869 
196. PETER1  [ＥＸ級関脇]    [AMERICAN POOL@Hong Kong@海外] Score: 1518169618 
197. MEBIUS  [I love STG]    [青森メトロポリス@青森県@東北] Score: 1517530883 
198. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ラウンドワン奈良店@奈良県@近畿] Score: 1517124626 
199. NANAMI!?  [自由の翼 God]    [タイトーステーション大須店@愛知県@東海] Score: 1516278460 
200. *Ta2maN*  [ハイテンションA-POPガール]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1516186818 
********************************************************************************************
201. MINE.  [もうどうだっていいや神]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1515020824 
202. TAPE  [踊ってみたら七変化！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1513282312 
203. EN453  [I love "そして誰もいなくなった"]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1512758902 
204. ni-yan  [伝統の幻想ブン屋]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1512195612 
205. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1512191648 
206. Chuckey  [SERIOUS LOOK]    [ビバーチャ@広島県@中国] Score: 1511849285 
207. MiKUya  [シンセサイザ ゴッド]    [タイトーステーション大須店@愛知県@東海] Score: 1511595515 
208. mea*  [うー！がぉー！]    [ヒューストン西川口店@埼玉県@関東] Score: 1510844696 
209. PezzA>.<  [真・千段]    [AMERICAN POOL@Hong Kong@海外] Score: 1510530748 
210. HASSY  [Ｓ級ワルキューレ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1510024156 
211. KENTA-09  [Ｓ＋級ラーメン]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1509607575 
212. BYDO  [宮城勢]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1509337913 
213. ZODY  [C6H4Cl2God]    [Ｈｅｙ@東京都@関東] Score: 1508962940 
214. xx_Clark  [空間騎兵]    [TOM'S WORLD(HUALIEN E33)@Taiwan@海外] Score: 1508831368 
215. CHIRU9  [夢のパーティーに飛び込もう！]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1508676495 
216. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1508593262 
217. DAGO  [爆符「ペタフレア」]    [セガ秋葉原１号館@東京都@関東] Score: 1507721680 
218. PROCO.Jr  [うー！がぉー！]    [セガ秋葉原@東京都@関東] Score: 1507666254 
219. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1506948671 
220. SCP-106  [Are you ready?]    [キャッツアイ篠路店@北海道@北海道] Score: 1506783039 
221. T=YURIKA  [ヴァンパイア姫]    [セガワールドアポロ@大阪府@近畿] Score: 1506058333 
222. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1505902998 
223. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1505876591 
224. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1505526660 
225. 387  [「プリスティンビート」]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1505486175 
226. Kn3.inc  [でんぱ神]    [タイトーステーション秋葉原店@東京都@関東] Score: 1505451940 
227. remina  [LINK PERFECT]    [セガ神楽坂@東京都@関東] Score: 1505380423 
228. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1504896236 
229. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1504687690 
230. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1503984389 
231. MONO  [「幼女の世界」]    [ギガゾーン広島駅前店@広島県@中国] Score: 1503523206 
232. SGK4444  [RED ALERT]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1503204253 
233. Takato.  [ピュアヒューリーズ]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1502984615 
234. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1502927669 
235. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1502724232 
236. GARYU!!!  [初代SSS CLASS]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1502703424 
237. LEO*  [滋賀勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1501599408 
238. yukineko  [グルメゴッド]    [ラウンドワン大分店@大分県@九州] Score: 1501183503 
239. USA33  [HDM KING]    [ｎａｍｃｏレイクタウン店@埼玉県@関東] Score: 1499744948 
240. R.KaBaTa  [発狂大魔人]    [TOM'S WORLD(MIRAMAR)@Taiwan@海外] Score: 1499744378 
241. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1499122277 
242. mrskon-G  [旅人]    [コムテックタワー@愛知県@東海] Score: 1498756556 
243. #KEN*  [URANUS]    [豊川メトロポリス@愛知県@東海] Score: 1498267151 
244. Darful  [フェニックス]    [インターワールド伊勢崎店@群馬県@関東] Score: 1497772750 
245. e99tart  [GROOVER]    [セガワールド大森@東京都@関東] Score: 1497528578 
246. Hinata  [UFO-CO大王]    [テクモピア南越谷店@埼玉県@関東] Score: 1495224255 
247. W.F.184  [I AM EDM]    [カプセル永山@東京都@関東] Score: 1494243894 
248. HiBi  [I love "SETSUNA"]    [セガ岡崎@愛知県@東海] Score: 1493888340 
249. K.K-OTL  [がんばリンカちゃん！]    [東京レジャーランド秋葉原２号店@東京都@関東] Score: 1493594794 
250. NARSAN  [GAME MUSIC TRIANGLER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1492932529 
251. YooshiEX  [絶対思想啓蒙局神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1492686698 
252. BANANA  [3EX]    [ラウンドワン梅田店@大阪府@近畿] Score: 1491831557 
