137. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1633861785 
138. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1633454410 
139. arisia  [ミュージック・リボルバー・ゴッド]    [タイトーステーション浜松店@静岡県@東海] Score: 1633424121 
140. kum@risa  [全都道府県完全制覇]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1633083285 
141. YAMA-!?  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1632280532 
142. KUU  [I love たぬきゅん]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1632117151 
143. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1632020533 
144. Naka.F  [死ぬがよい。]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1631923099 
145. MIKO  [プリンシパリティ]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1631644349 
146. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1631178358 
147. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1630016080 
148. NOGUnSO  [Ｓ＋級ドーナッツ]    [セガ安城@愛知県@東海] Score: 1629686431 
149. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1629636540 
150. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629062358 
151. G.urakaM  [真・四段]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1628595382 
152. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1628319449 
153. 9M@NO3  [長野勢]    [プレイロットジョイ@東京都@関東] Score: 1627909217 
154. ZONE  [JAN, 2018 TOP RANKER]    [リッチモンド@熊本県@九州] Score: 1627061384 
155. R.KaBaTa  [TANO*C MASTER]    [SEGA WORLD(DAJIANG)@Taiwan@海外] Score: 1626622446 
