121. Kissshot  [絶対思想啓蒙局神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1659412933 
122. ())  [緑眼のジェラシー]    [ファンタジードーム八戸@青森県@東北] Score: 1659259127 
123. Syou0139  [伝統の幻想ブン屋]    [モリシア　アミューズパーク@千葉県@関東] Score: 1658905400 
124. LIMIO  [未確認幻想飛行少女]    [スタジオプリモ宇都宮店@栃木県@関東] Score: 1658760789 
125. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1657619678 
126. YAMA-!?  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1657277151 
127. NOLF68  [逆襲のあまのじゃく]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1656831168 
128. RETurn  [LINK PERFECT]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1656585661 
129. Shougo99  [神・初段]    [タイトーステーション浜松店@静岡県@東海] Score: 1656569595 
130. U5*  [DullaGoddess]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1656167298 
131. KENO  [超高校級の「ギャル」]    [セガワールド福島@福島県@東北] Score: 1654664225 
132. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1652931515 
133. HONOME  [残酷な真実を見せてあげる]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1652923264 
134. cohalz  [行脚神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1652615818 
135. Mojo  [LINK PERFECT]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1652104959 
136. VAL  [「馬鹿じゃないの？」]    [アルプラザボウル鯖江@福井県@北陸] Score: 1651952410 
137. Vedr  [練習中]    [タイトーステーション新宿東口店@東京都@関東] Score: 1651939950 
138. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1651083657 
139. KUU  [迫り来る未来の選択]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1650324745 
140. Makaru.G  [GOD]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1650223893 
141. xx_Adam  [第四ノ封印ヲ解放セシ者]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1649104093 
142. Naka.F  [死ぬがよい。]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1648716372 
143. Law  [運び屋]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1647899138 
144. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1646937109 
145. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1646697540 
146. NOGUnSO  [継ぎ接ぎ狂った先生]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1646489372 
147. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1645282063 
148. arisia  [ミュージック・リボルバー・ゴッド]    [タイトーステーション浜松店@静岡県@東海] Score: 1644877294 
149. ZONE  [JAN, 2018 TOP RANKER]    [セガワールド出水@鹿児島県@九州] Score: 1644687922 
150. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1643765089 
151. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1643400247 
152. xx_LA-LA  [バーカバーカ！]    [LOVEJIS LION KEELUNG@Taiwan@海外] Score: 1643157492 
153. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1641996413 
154. MIKO  [労働反対神]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1641656456 
155. mea*  [Wacky king]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1641334845 
156. Kreide  [無理]    [アピナ松本店@長野県@信越] Score: 1640986643 
157. R.KaBaTa  [TANO*C MASTER]    [ESLITE WUCHANG@Taiwan@海外] Score: 1640515432 
158. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1640117859 
159. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1640083111 
160. SNOW  [ずんどこずんどこずんどこずんどこ]    [ゲームチャオ松阪@三重県@東海] Score: 1639884234 
161. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1639727012 
162. BASS  [プリンシパリティ]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1639630210 
163. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ラウンドワン奈良店@奈良県@近畿] Score: 1638659161 
164. Tsukasa  [K.I.N.G]    [アムネット五反田店@東京都@関東] Score: 1638354273 
165. 44.44  [STAR COASTER GOD]    [Ｇ－ＳＴＡＧＥ小倉@福岡県@九州] Score: 1637863915 
166. C-man  [「パッパッパラッパパパラパ」]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1636255055 
167. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1635832683 
168. BEGINNER  [GROOVER]    [タイトーステーション所沢店@埼玉県@関東] Score: 1635831459 
169. cycla.  [わーい！]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1635808391 
170. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1635448792 
171. MINE.  [噂の美少女探偵]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1635315062 
172. KZ+manju  [全都道府県完全制覇]    [ラウンドワン奈良店@奈良県@近畿] Score: 1634406422 
173. H.SYSTEM  [ANGELIC LADY]    [遊パラダイス@山形県@東北] Score: 1634265695 
174. NANAMI!?  [イフリート]    [タイトーステーション大須店@愛知県@東海] Score: 1633559056 
175. xx_DiC  [会いたい神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1632903140 
176. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1632570691 
177. TAPE  [踊ってみたら七変化！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1632044156 
178. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1631625759 
179. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1631354548 
180. July_u26  [Nightmare]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1631023144 
181. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1630922312 
182. 8MA  [I love "Pray"]    [ラッキー八千代店@千葉県@関東] Score: 1630837852 
183. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1630589079 
184. PETER1  [天下統一]    [AMERICAN POOL@Hong Kong@海外] Score: 1630100030 
185. SEFY  [LINK PERFECT]    [キャロム坂戸店@埼玉県@関東] Score: 1630077693 
186. K-FISHER  [GROOVER]    [タイトーイン綾瀬@東京都@関東] Score: 1629827044 
